# Recipe book (layer 4): program -> evolved recipe, injected as
# candidate "bk" into the faustauto jury (the correctness gate applies
# to it like to any candidate). Key = basename of the .dsp file.
# PER-MACHINE OPERATIONAL DATA, not a truth table: these champions were
# evolved by genetic.py on one machine (Apple M1, dated below) and are
# only starting points elsewhere -- regenerate with genetic.py --book.
# basename	date	flags	env
reverbTank.dsp	2026-08-24	-ss 11 -ls-R 16 -ls-U 8 -ls -ls-sched model -temp 1 -lsum -gatequiv	FAUST_SS_RINGPRELOAD=1 FAUST_GATEQUIV_TAU=24
virtualAnalogForBrowser.dsp	2026-08-23	-ls-R 2 -ls-U 2 -temp 4 -fir -iirt -lsum -lazyselect -gatequiv	-
pluckedString.dsp	2026-08-23	-ss 11 -ls-R 2 -ls-U 4 -gatequiv	FAUST_SS_RINGPRELOAD=1
2dKirchhoffThinPlate.dsp	2026-08-23	-ss 11 -ls-R 64 -ls-U 2 -ls-fuse -ls-sched model -ls -ls-sched model -temp 2 -lsum	-
karplus.dsp	2026-08-23	-ss 9 -ls-R 8 -ls-U 8 -ls -ls-sched model -temp 1 -fir -iirt -lsum	FAUST_GATEQUIV_TAU=24 FAUST_LZ_ATOMS=6
autopan.dsp	2026-08-23	-ss 8 -ls-R 64 -ls-U 4 -temp 2 -lazyselect -selectn	FAUST_GATEQUIV_TAU=6 FAUST_LZ_ATOMS=2
granulator.dsp	2026-08-23	-ls-R 8 -ls-U 4 -ls-fuse -ls-sched model -ls -ls-sched model -temp 8 -lazyselect	FAUST_GATEQUIV_TAU=6
korg35LPF.dsp	2026-08-23	-ss 9 -ls-R 16 -ls-U 2 -temp 2 -selectn	FAUST_GATEQUIV_TAU=6 FAUST_LZ_ATOMS=6
modularInterpInstrMIDI.dsp	2026-08-23	-ls-R 16 -ls-U 8 -ls-fuse -ls-sched model -fir -iirt -lsum -gatequiv	FAUST_GATEQUIV_TAU=6 FAUST_LZ_ATOMS=2
quadEcho.dsp	2026-08-23	-ss 11 -ls-R 16 -ls-U 2 -ls-fuse -ls-sched model -fir -iirt -gatequiv	-
